datetime,NT,KLN,HKI,Total
9/9/2017,0.71385609,0.830093989,0.632249216,0.900734304
10/9/2017,0.192469745,0.096234872,0.096234872,0.192469745
11/9/2017,0.624742654,0.77675615,0.573001322,0.837619049
12/9/2017,0.621622577,0.700216903,0.583769319,0.794648665
13/9/2017,0.581681496,0.770959432,0.566115403,0.824353117
14/9/2017,0.653859743,0.816826202,0.558870059,0.868799381
15/9/2017,0.583769319,0.727751434,0.508640008,0.787670434
16/9/2017,0.62319138,0.762070793,0.568448862,0.827253224
17/9/2017,0.152528664,0.152528664,0.096234872,0.192469745
18/9/2017,0.615163851,0.632249216,0.508640008,0.744999087
19/9/2017,0.624742654,0.768790051,0.573001322,0.832532855
20/9/2017,0.563742053,0.682061082,0.4012922,0.741050833
21/9/2017,0.540330885,0.730659134,0.548581088,0.787192507
22/9/2017,0.744348793,0.87091102,0.640752132,0.934849177
23/9/2017,0.599429571,0.726274425,0.481174362,0.787192507
24/9/2017,0.096234872,0.152528664,0.096234872,0.152528664
25/9/2017,0.671457643,0.786231689,0.579561798,0.855699669
26/9/2017,0.508640008,0.66583592,0.553820864,0.742379432
27/9/2017,0.579561798,0.751958235,0.57074375,0.812106056
28/9/2017,0.644815961,0.749467808,0.556368414,0.823249766
29/9/2017,0.60487488,0.73280063,0.54313578,0.800859688
30/9/2017,0.505033634,0.671457643,0.344998409,0.71466564
1/10/2017,0.096234872,0.096234872,0.096234872,0.096234872
2/10/2017,0.096234872,0.096234872,0.096234872,0.096234872
3/10/2017,0.556368414,0.73421016,0.518928979,0.787670434
4/10/2017,0.587853071,0.618430768,0.508640008,0.728484088
5/10/2017,0.096234872,0.096234872,0.096234872,0.096234872
6/10/2017,0.096234872,0.096234872,0.152528664,0.152528664
7/10/2017,0.587853071,0.720977526,0.501331079,0.783308685
8/10/2017,0.096234872,0.344998409,0.096234872,0.344998409
9/10/2017,0.66583592,0.80428795,0.640752132,0.875040322
10/10/2017,0.743695438,0.880524746,0.664683735,0.943809549
11/10/2017,0.647460566,0.780322816,0.597565952,0.848808796
12/10/2017,0.661168672,0.809276663,0.577409234,0.867463109
13/10/2017,0.613501106,0.738354873,0.534545149,0.80513195
14/10/2017,0.591820129,0.636565757,0.525387705,0.741716722
15/10/2017,0.096234872,0.096234872,0.096234872,0.096234872
16/10/2017,0.620035845,0.727751434,0.489591337,0.794648665
17/10/2017,0.67472456,0.830093989,0.642120001,0.89313379
18/10/2017,0.603083403,0.724781533,0.573001322,0.800859688
19/10/2017,0.618430768,0.735605524,0.489591337,0.79911328
20/10/2017,0.595676976,0.803438788,0.561327426,0.848808796
21/10/2017,0.573001322,0.736297983,0.577409234,0.802155226
22/10/2017,0.096234872,0.096234872,0.096234872,0.096234872
23/10/2017,0.647460566,0.797344625,0.581681496,0.857153479
24/10/2017,0.671457643,0.808867715,0.616806918,0.875040322
25/10/2017,0.637975288,0.757995603,0.57522277,0.829389228
26/10/2017,0.60487488,0.591820129,0.505033634,0.723272414
27/10/2017,0.581681496,0.720977526,0.493615896,0.780824941
28/10/2017,0.096234872,0.096234872,0.096234872,0.096234872
29/10/2017,0.096234872,0.096234872,0.096234872,0.096234872
30/10/2017,0.659976925,0.809684409,0.534545149,0.862821106
31/10/2017,0.698413792,0.764910106,0.658774861,0.865842419
1/11/2017,0.57074375,0.737672623,0.54313578,0.796451775
2/11/2017,0.650055736,0.817212398,0.545885128,0.866924978
3/11/2017,0.57074375,0.599429571,0.457585992,0.703754357
4/11/2017,0.658774861,0.784777879,0.573001322,0.850639648
5/11/2017,0.096234872,0.096234872,0.096234872,0.096234872
6/11/2017,0.540330885,0.780824941,0.556368414,0.823618525
7/11/2017,0.708053078,0.811303525,0.63514177,0.888596211
8/11/2017,0.624742654,0.731376642,0.540330885,0.804710591
9/11/2017,0.583769319,0.712222688,0.512155071,0.778295954
10/11/2017,0.599429571,0.742379432,0.493615896,0.79911328
11/11/2017,0.54313578,0.610114656,0.505033634,0.708897078
12/11/2017,0.096234872,0.192469745,0.096234872,0.192469745
13/11/2017,0.593761945,0.770420256,0.497527072,0.817597524
14/11/2017,0.63514177,0.757403544,0.587853071,0.830445032
15/11/2017,0.595676976,0.728484088,0.493615896,0.789094421
16/11/2017,0.640752132,0.754404776,0.545885128,0.823618525
17/11/2017,0.589850769,0.779313083,0.57522277,0.832877793
18/11/2017,0.700216903,0.724029024,0.621622577,0.839602477
19/11/2017,0.096234872,0.319685326,0.096234872,0.319685326
20/11/2017,0.76602977,0.94957631,0.709735978,1.000206604
21/11/2017,0.518928979,0.457585992,0.288704617,0.595676976
22/11/2017,0.608389943,0.750094616,0.429152832,0.800859688
23/11/2017,0.711398723,0.823986306,0.668111997,0.902414658
24/11/2017,0.759756779,0.849421767,0.651335354,0.927553649
25/11/2017,0.613501106,0.772031542,0.548581088,0.828680872
26/11/2017,0.192469745,0.096234872,0.096234872,0.192469745
27/11/2017,0.639370652,0.775199077,0.573001322,0.839930311
28/11/2017,0.719426252,0.83079519,0.629295113,0.902205723
29/11/2017,0.66583592,0.744999087,0.566115403,0.828325334
30/11/2017,0.640752132,0.756808949,0.551225694,0.825810742
1/12/2017,0.695664444,0.73421016,0.57074375,0.833565109
2/12/2017,0.595676976,0.755612066,0.540330885,0.812903976
3/12/2017,0.096234872,0.096234872,0.096234872,0.096234872
4/12/2017,0.659976925,0.743695438,0.556368414,0.824353117
5/12/2017,0.681036445,0.791435751,0.610114656,0.865842419
6/12/2017,0.636565757,0.756808949,0.563742053,0.826533856
7/12/2017,0.589850769,0.729212896,0.528507781,0.792821828
8/12/2017,0.615163851,0.729212896,0.53155928,0.799551946
9/12/2017,0.626276786,0.763213495,0.53155928,0.823618525
10/12/2017,0.096234872,0.096234872,0.096234872,0.096234872
11/12/2017,0.70548985,0.845388213,0.648764215,0.910524266
12/12/2017,0.741716722,0.807633596,0.669236194,0.902414658
13/12/2017,0.688055001,0.826533856,0.566115403,0.883905306
14/12/2017,0.66583592,0.764346869,0.639370652,0.852147128
15/12/2017,0.621622577,0.715470498,0.481174362,0.786712929
16/12/2017,0.606643535,0.733507184,0.525387705,0.79911328
17/12/2017,0.096234872,0.192469745,0.096234872,0.192469745
18/12/2017,0.656339052,0.783308685,0.583769319,0.850639648
19/12/2017,0.760918607,0.882466562,0.67472456,0.950612968
